brand,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found,animal_cruelty_flag,animal_cruelty_note
Hermès,Hermès Product 109,Belt,Ostrich Leather,Leather,1 hide,Red,Grain,Handcrafted,France,2022,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,34138.24,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Hermès Product 109,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Belt, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Saint Laurent,Saint Laurent Product 110,Wallet,Ostrich Leather,Leather,1 hide,Monogram,Quilted,Machine-made,Spain,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,2757.02,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Saint Laurent Product 110,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Wallet, Material: Ostrich Leather, Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Miu Miu,Miu Miu Product 111,Bag,Bovine (Cowhide),Leather,1 hide,Beige,Textured,Handcrafted,France,2022,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,81444.22,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 111,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Bag, Material: Bovine (Cowhide), Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Chanel,Chanel Product 112,Belt,Lambskin (Sheepskin),Leather,1 hide,Brown,Embossed,Machine-made,Spain,2021,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,50879.31,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Chanel Product 112,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Belt, Material: Lambskin (Sheepskin), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 113,Belt,Calfskin (Bovine),Leather,1 hide,Red,Embossed,Hand-stitched,Italy,2021,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,82625.12,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 113,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Celine,Celine Product 114,Belt,Ostrich Leather,Leather,1 hide,Red,Smooth,Machine-made,Spain,2021,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,2526.33,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 114,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Belt, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Alexander Mcqueen,Alexander Mcqueen Product 115,Shoes,Calfskin (Bovine),Leather,1 hide,Monogram,Embossed,Hand-stitched,Italy,2022,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,41271.97,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Alexander Mcqueen Product 115,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Shoes, Material: Calfskin (Bovine), Color: Monogram",Monogram,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Fendi,Fendi Product 116,Wallet,Ostrich Leather,Leather,1 hide,Red,Smooth,Hand-stitched,Italy,2023,CITES; LWG-certified tannery (if applicable),Leather sourced from sustainable farms,51990.44,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Fendi Product 116,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Wallet, Material: Ostrich Leather, Color: Red",Red,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Miu Miu,Miu Miu Product 117,Wallet,Bovine (Cowhide),Leather,1 hide,Black,Textured,Handcrafted,Spain,2025,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,53320.83,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Miu Miu Product 117,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Wallet, Material: Bovine (Cowhide), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Bovine (Cowhide) - animal killed
Celine,Celine Product 118,Belt,Calfskin (Bovine),Leather,1 hide,Brown,Textured,Hand-stitched,United Kingdom,2024,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,76707.81,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 118,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Gucci,Gucci Product 119,Wallet,Ostrich Leather,Leather,1 hide,Brown,Embossed,Machine-made,Italy,2020,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,80125.67,Limited Edition,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Gucci Product 119,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Wallet, Material: Ostrich Leather, Color: Brown",Brown,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Ostrich Leather - animal killed
Celine,Celine Product 120,Belt,Calfskin (Bovine),Leather,1 hide,Black,Quilted,Handcrafted,Spain,2025,LWG-certified tannery (if applicable),Strict sourcing from certified farms,86532.78,Limited Edition,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 120,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Belt, Material: Calfskin (Bovine), Color: Black",Black,Generated,Auto-filled for dataset completeness,False,True,Made from Calfskin (Bovine) - animal killed
Gucci,Gucci Product 121,Wallet,Calfskin (Bovine),Leather,1 hide,Red,Textured,Machine-made,France,2020,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,19695.28,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^\d{6}\s[A-Z0-9]{5}\s\d{4}$,False,Gucci Product 121,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Wallet, Material: Calfskin (Bovine), Color: Red",Red,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Valentino,Valentino Product 122,Bag,Ostrich Leather,Leather,1 hide,Beige,Embossed,Hand-stitched,Italy,2022,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,84116.4,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9]{6,12}$",True,Valentino Product 122,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Bag, Material: Ostrich Leather, Color: Beige",Beige,Generated,Auto-filled for dataset completeness,False,True,Made from Ostrich Leather - animal killed
Dior,Dior Product 123,Belt,Lambskin (Sheepskin),Leather,1 hide,Brown,Embossed,Handcrafted,United Kingdom,2022,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,76454.37,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Dior Product 123,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Belt, Material: Lambskin (Sheepskin), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Celine,Celine Product 124,Shoes,Lambskin (Sheepskin),Leather,1 hide,Brown,Smooth,Machine-made,Spain,2025,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,33178.59,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Celine Product 124,N/A,https://www.brand.com/product,Luxury item crafted from Lambskin (Sheepskin),"Category: Shoes, Material: Lambskin (Sheepskin), Color: Brown",Brown,Generated,Auto-filled for dataset completeness,False,True,Made from Lambskin (Sheepskin) - animal killed
Burberry,Burberry Product 125,Shoes,Ostrich Leather,Leather,1 hide,Beige,Textured,Hand-stitched,Italy,2020,FSC; LWG-certified tannery (if applicable),Ethically sourced leather,91850.93,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 125,N/A,https://www.brand.com/product,Luxury item crafted from Ostrich Leather,"Category: Shoes, Material: Ostrich Leather, Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Ostrich Leather - animal killed
Louis Vuitton,Louis Vuitton Product 126,Bag,Calfskin (Bovine),Leather,1 hide,Red,Textured,Handcrafted,France,2024,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,89387.73,Out Of Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 126,N/A,https://www.brand.com/product,Luxury item crafted from Calfskin (Bovine),"Category: Bag, Material: Calfskin (Bovine), Color: Red",Red,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Calfskin (Bovine) - animal killed
Burberry,Burberry Product 127,Shoes,Bovine (Cowhide),Leather,1 hide,Black,Embossed,Handcrafted,France,2022,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,8006.83,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{7,10}$",False,Burberry Product 127,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Black",Black,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Bovine (Cowhide) - animal killed
Louis Vuitton,Louis Vuitton Product 128,Wallet,Crocodile Leather,Exotic Leather,1 skin,Monogram,Embossed,Machine-made,Italy,2025,FSC; CITES Appendix II (permits & tagging required); CITES Appendix II (verify),Leather sourced from sustainable farms,92814.95,In Stock,Animal killed for skin; trade regulated under CITES; verify captive-breeding/farm documentation,CITES: Appendix II (Saltwater crocodile - Crocodylus porosus); verify species and population via CITES certificate,Request CITES export/import permits and species-specific documentation from supplier/Hermes,True,True,True,^[A-Z]{1}\d{5}$,False,Louis Vuitton Product 128,N/A,https://www.brand.com/product,Luxury item crafted from Crocodile Leather,"Category: Wallet, Material: Crocodile Leather, Color: Monogram",Monogram,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Crocodile Leather - animal killed
Prada,Prada Product 129,Shoes,Bovine (Cowhide),Leather,1 hide,Beige,Quilted,Hand-stitched,Spain,2022,FSC; LWG-certified tannery (if applicable),Strict sourcing from certified farms,27185.55,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,Prada Product 129,N/A,https://www.brand.com/product,Luxury item crafted from Bovine (Cowhide),"Category: Shoes, Material: Bovine (Cowhide), Color: Beige",Beige,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False,True,Made from Bovine (Cowhide) - animal killed
